noid,codigo_departamento,nombre_departamento,codigo_municipio,nombre_municipio,zona_postal,codigo_postal,limite_norte,limite_sur,limite_este,limite_oeste,tipo,barrios_contenidos_en_el_codigo_postal,veredas_contenidas_en_el_codigo_postal
45,5,ANTIOQUIA,05079,BARBOSA,510,51027,MUNICIPIO DON MATIAS,RÍO MEDELLIN,MUNICIPIO DON MATIAS,MUNICIPIO GIRARDOTA,Rural,Sin Informacion de Barrios,Altamira- Cestilla-  El Guayabo-  Iborra-  La Ese-  La Lomita-  La Montañita-  Paraiso-  Romazón-  Tablazo Hatillo
14,5,ANTIOQUIA,05001,MEDELLIN,500,50016,CL  49,CL  27 Y 26,KR 30- 32-CL 31A Y KR 31,KR  46 Y 43A,Urbano,Asomadera No.1- Barrio Colón- Bomboná No.1- Buenos Aires- El Salvador- Gerona- Las Palmas- San Diego,Sin Informacion de Veredas
2150,47,MAGDALENA,47258,EL PIÑON,4760,476008,VÍA PIVIJAY-SABANAS Y M. PIVIJAY,MPIO. ZAPAYÁN Y CHIBOLO,MUNICIPIO PIVIJAY,VÍA SABA.-CONCEP. Y M. CE. SAN ANTO.,Rural,Sin Informacion de Barrios,Las Piedras
1417,23,CORDOBA,23162,CERETE,2305,230558,LIMITE URBANO Y RÍO (PERMANENTE),MPIO. MONTERIA Y SAN CARLOS,MPIO. SAN CAR. Y CAÑO VIE. DE MARTÍ.,RÍO SINÚ,Rural,Sin Informacion de Barrios,Aguasnegras- El Obligado-  Garzones-  Las Babillas
1385,20,CESAR,20614,RIO DE ORO,2050,205047,MUNICIPIO OCAÑA Y EL CARMEN,VÍA AGUACHI.-OCAÑA Y Q/DA. PERALONSO,MUNICIPIO OCAÑA,MUNICIPIO AGUACHICA,Rural,Sin Informacion de Barrios,Sin Informacion de Veredas
3397,76,VALLE DEL CAUCA,76130,CANDELARIA,7635,763577,MUNICIPIO PALMIRA,VÍA CALI - FLORIDA,MUNICIPIO PRADERA,MUNICIPIO CALI,Rural,Sin Informacion de Barrios,Sin Informacion de Veredas
2111,47,MAGDALENA,47692,SAN SEBASTIAN DE BUENAVISTA,4730,473001,KR 15,KR 1,LIMITE URBANO,LIMITE URBANO,Urbano,Sin Informacion de Barrios,Buenavista- San sebastián
1231,19,CAUCA,19355,INZA,1925,192548,M. TOTORÓ Y VÍA INZÁ-TOTORÓ,M. PURACÉ Y LA PLATA,RÍO (PERMANENTE),MUNICIPIO TOTORÓ,Rural,Sin Informacion de Barrios,Belencito- Cordoba-  El Carmen-  EL ROSAL-  San Martin-  San Pedro-  San Vicente-  Santa Teresa
2374,52,NARIÑO,52506,OSPINA,5230,523040,LIMITE URBANO,LIMITE URBANO,LIMITE URBANO,LIMITE URBANO,Urbano,Sin Informacion de Barrios,Sin Informacion de Veredas
2223,50,META,50568,PUERTO GAITAN,5020,502059,RÍO GUARROJO Y CAÑO DULLACÍAS,CAÑO MINA CHIQUITA- TEXAS Y RÍO (PER.),VÍA LAS CULATAS-LOS KIOSCOS,MUNICIPIO PUERTO LÓPEZ,Rural,Sin Informacion de Barrios,Sin Informacion de Veredas
2167,47,MAGDALENA,47745,SITIONUEVO,4770,477009,MAR CARIBE,MUNICIPIO REMOLINO,MUNICIPIO PUEBLOVIEJO,CAÑO SAN JUAN- EL MORRO Y RÍO (PÉRMA.),Rural,Sin Informacion de Barrios,Sin Informacion de Veredas
